pitch_type,release_speed,release_pos_x,release_pos_z,player_name,zone,p_throws,bb_type,game_year,pfx_x,pfx_z,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,release_pos_y,height,weight,age,weight_(oz),circumference_(in),avg_seam_height,avg_ccor,avg_ds
FT,92.7,-1.656,6.0867,Bryce Harper,5.0,R,line_drive,2017,-1.4922,0.8673,0.1084,1.8486,7.7861,-134.5512,-6.9467,-19.9068,27.8712,-20.299,2.9385,1.2409,406.0,116.3,19.391,93.036,1986.0,6.521,53.9785,75,220,25,5.104863,9.08,0.038,0.476463,12926.0
SI,92.9,-2.2145,5.5769,Bryce Harper,5.0,R,line_drive,2016,-1.639958333,0.8908666670000001,-0.136,2.582,9.145,-134.975,-3.0389999999999997,-19.669,34.021,-23.368000000000002,3.12,1.51,428.0,112.7,18.039,92.56299999999999,1971.0,6.812,53.6877,75,220,25,5.122499999999999,9.079,0.03843200000000002,0.4941000000000001,12926.4
FF,95.2,-1.7871,6.0802,Bryce Harper,9.0,R,fly_ball,2016,-1.0652,1.616133333,0.353,1.8880000000000001,7.188,-138.166,-8.47,-12.940999999999999,31.816,-13.062999999999999,3.12,1.52,451.0,112.7,31.413,95.014,2360.0,6.269,54.2331,75,220,25,5.122499999999999,9.079,0.03843200000000002,0.4941000000000001,12926.4
FF,87.2,2.4795,5.7823,Bryce Harper,12.0,L,line_drive,2017,0.6926,1.7501,0.9943,2.5989999999999998,-4.9821,-126.5985,-5.0517,8.4662,25.6962,-12.5241,3.17,1.49,417.0,112.6,21.785,87.152,1726.0,6.367000000000001,54.1346,75,220,25,5.104863,9.08,0.038,0.476463,12926.0
FF,90.6,-1.4216,6.1155,Bryce Harper,1.0,R,line_drive,2015,-1.016491667,1.4469999999999998,-0.39,2.96,4.7,-131.9,-4.69,-11.35,24.98,-16.6,3.17,1.45,405.0,112.4,18.24,90.98,2225.0,6.0360000000000005,54.4654,75,220,25,5.120124999999999,9.107916666666666,0.040501666666666665,0.4913333333333332,12740.875
CH,85.4,-2.5696,5.9181,Bryce Harper,2.0,R,fly_ball,2017,-0.7988,1.4905,0.0672,2.4438,7.8836,-124.0072,-4.9807,-9.8551,22.686,-15.7414,2.9466,1.2493,405.0,111.6,23.526,86.258,1671.0,6.7570000000000014,53.7421,75,220,25,5.104863,9.08,0.038,0.476463,12926.0
SL,82.6,-3.1577,5.5729,Bryce Harper,8.0,R,line_drive,2015,0.432233333,0.528233333,-0.12,1.4909999999999999,4.67,-120.20200000000001,-2.7239999999999998,5.8660000000000005,24.849,-28.775,3.08,1.39,435.0,111.0,23.482,82.19,2085.4,6.33,54.17100000000001,75,220,25,5.120124999999999,9.107916666666666,0.040501666666666665,0.4913333333333332,12740.875
FT,80.5,-1.3425,6.1554,Bryce Harper,2.0,R,line_drive,2015,-0.2469,-0.576866667,-0.21899999999999997,2.708,2.673,-117.109,0.605,-1.155,23.877,-39.562,3.18,1.46,425.0,110.6,27.000999999999998,78.15100000000002,2344.0,4.967,55.5328,75,220,25,5.120124999999999,9.107916666666666,0.040501666666666665,0.4913333333333332,12740.875
FF,95.1,-2.0667,6.1192,Bryce Harper,5.0,R,fly_ball,2017,-0.5381,1.2638,-0.131,2.1373,6.2443,-137.9478,-7.5549,-8.2138,29.8906,-14.6378,3.19,1.49,438.0,110.5,18.412,94.851,2588.0,6.251,54.2465,75,220,25,5.104863,9.08,0.038,0.476463,12926.0
FF,95.7,-1.5695,5.1233,Bryce Harper,6.0,R,line_drive,2015,-1.4827,1.3194333329999999,0.359,2.6319999999999997,8.311,-139.037,-3.2739999999999996,-19.057000000000002,30.743000000000002,-16.79,3.17,1.47,446.0,110.1,22.983,95.78,2460.0,6.5310000000000015,53.9684,75,220,25,5.120124999999999,9.107916666666666,0.040501666666666665,0.4913333333333332,12740.875
